name,business_status,price_level,place_id,rating,types,lat,lng,open,old_neighborhood,neighborhood,borough,pull_date,pull_datetime,pull_week
Bella Napoli Pizza & Pasta,OPERATIONAL,NA,ChIJ1cDCRF3zwokR65D9PvIPq_Y,4,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.865699,-73.864609,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Dukagjini Burek,OPERATIONAL,1,ChIJ53KeKqD0wokRA9WzdrY4UGU,4.7,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8543404,-73.8654543,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Kennedy Fried Chicken,OPERATIONAL,NA,ChIJVU6bsGfzwokRmXL4_fcgRb0,4.2,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8652525,-73.86766709999999,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Li's Kitchen,CLOSED_TEMPORARILY,1,ChIJIwotclvzwokRXRlPXMNMG10,4.2,"c(""meal_delivery"", ""meal_takeaway"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8634811,-73.85857639999999,FALSE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Feroza's Roti,OPERATIONAL,1,ChIJUXes9mnzwokRqbmpmk_AypQ,4.5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.871414,-73.866486,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
El Rincón de Mexico,OPERATIONAL,NA,ChIJF6QtDLTzwokRuubdBmHTAVM,4.4,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8594002,-73.86624499999999,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
White Castle,OPERATIONAL,1,ChIJzVAe2FzzwokR38h1ZOp2knk,4.1,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8660524,-73.8621746,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Cemitas Puebla,OPERATIONAL,NA,ChIJF8hAtGfzwokRmBLLD-LSWtY,4,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8655649,-73.8681,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
McDonald's,OPERATIONAL,1,ChIJQ1oOEWfzwokRJYMgI5paA6U,3.9,"c(""cafe"", ""restaurant"", ""food"", ""point_of_interest"", ""store"", ""establishment"")",40.8640265,-73.8670626,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Popeyes Louisiana Kitchen,OPERATIONAL,1,ChIJaYcMOUPzwokRQShsP27c1rQ,4,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8667921,-73.86130159999999,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
