name,business_status,price_level,place_id,rating,types,lat,lng,open,neighborhood
Pio Pio 6,OPERATIONAL,2,ChIJY7nnASj2wokRHg9ymgou4dQ,4.3,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7796602,-73.983408,TRUE,Upper West Side
Pizzeria Sirenetta,OPERATIONAL,2,ChIJExcFhINYwokRb7AXL6ojgZE,4.6,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7838797,-73.97742439999999,TRUE,Upper West Side
Elea,OPERATIONAL,NA,ChIJk84XGIRYwokRGrW8KFlR2_g,4.6,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.786719,-73.97611599999999,TRUE,Upper West Side
Good Enough To Eat,OPERATIONAL,2,ChIJr_284IRYwokR_Ejcc1v_gtU,4.1,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7769784,-73.9793528,TRUE,Upper West Side
Sala Thai,OPERATIONAL,2,ChIJr9FgkpVZwokRYB4L5UHRIW4,4.8,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7834267,-73.9784952,TRUE,Upper West Side
Viand Cafe,OPERATIONAL,2,ChIJ18ntlYlYwokR6oDcJ_x0OPc,4,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7764282,-73.9792883,TRUE,Upper West Side
Blossom on Columbus,OPERATIONAL,2,ChIJvUwtGYVYwokR93RGXJeZR7A,4.4,"c(""meal_takeaway"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7864819,-73.9725259,TRUE,Upper West Side
Flora Bar,OPERATIONAL,3,ChIJe3cd65RYwokROvf-dv8RxTU,4.5,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7733983,-73.9638262,TRUE,Upper East Side
Daniel,OPERATIONAL,4,ChIJ09ZGju5YwokRXOcNC23JRwk,4.6,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7667694,-73.96758609999999,TRUE,Upper East Side
Sfoglia,OPERATIONAL,3,ChIJLenzb6RYwokRwsIJcrPNQ5s,4.5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7834926,-73.9528729,TRUE,Upper East Side
Sushi Seki,OPERATIONAL,4,ChIJ0yaoCehYwokRlS40yjTFyKY,4.5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.761917,-73.9605357,TRUE,Upper East Side
Sandro's,OPERATIONAL,3,ChIJj9dKtb5YwokRHtC1_HyFZG0,4.8,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7743295,-73.95367630000001,TRUE,Upper East Side
