n,id,2020-05-23,2020-05-24
2,122,NA,Red Rooster
2,123,NA,Babbalucci
2,124,NA,Melba's
2,125,NA,The Edge Harlem
2,126,NA,Amy Ruth's
2,127,NA,Seasoned Vegan
2,128,NA,Maison Harlem
2,129,NA,Lido Harlem Restaurant
2,130,NA,Clay
2,131,NA,Belle Harlem
2,132,NA,VINATERÍA
2,133,NA,Sottocasa Pizzeria Harlem
2,134,NA,Barawine Harlem
2,135,NA,The Cecil Steakhouse
2,136,NA,BLVD Bistro NY
2,137,NA,Abyssinia
2,138,NA,Harlem Tavern
2,139,NA,Yatenga
2,140,NA,Harlem Shake
2,141,NA,SETTEPANI
2,142,NA,The Grange
2,143,NA,Corner Social
2,144,NA,Ponty Bistro
2,145,NA,Chez Jacob
2,146,NA,Fumo
2,147,NA,Bono Trattoria
2,148,NA,Mo's Burgers
2,149,NA,Il Cafe Latte 1
2,150,NA,Lolo's Seafood Shack
2,151,NA,Tsion Cafe
2,152,NA,La Diagonal Agaveria
2,154,NA,Pikine
2,155,NA,FIELDTRIP
2,157,NA,Sushi Inoue
2,158,NA,Safari restaurant nyc
2,160,NA,Harlem Food Bar
2,161,NA,Renaissance Harlem
2,162,NA,B2 Harlem
2,166,NA,Trufa Restaurant
2,168,NA,Charles' Country Pan Fried Chicken
2,169,NA,Angel of Harlem
2,170,NA,Londel's
2,171,NA,Zoma
2,172,NA,RDV-Rendezvous Harlem
2,173,NA,Home Sweet Harlem
2,174,NA,Harlem Seafood Soul
2,175,NA,Harlem Public
2,176,NA,Jacob
2,177,NA,Row House
2,178,NA,La Lonchera
2,179,NA,Indian Summer Harlem
2,180,NA,Chocolat Restaurant & Bar
2,181,NA,Max Soha
2,182,NA,Pisticci
2,183,NA,Community Food & Juice
2,185,NA,Tartina
2,186,NA,Junzi Kitchen
2,187,NA,Massawa
2,188,NA,Symposium
2,191,NA,Bettolona
2,192,NA,Flat Top
2,193,NA,Falafel On Broadway
2,194,NA,The Heights Bar & Grill
2,195,NA,Mel's Burger Bar
2,196,NA,Toast Uptown
2,197,NA,"314 - pizza, pasta & wine bar"
2,199,NA,V&T Pizzeria Restaurant
2,200,NA,Max Caffè
2,201,NA,Le Monde Restaurant & Bar
2,202,NA,Tom's restaurant
2,203,NA,Chapati House
2,204,NA,Elysian Fields
2,205,NA,Hula Poke
2,207,NA,El Porton
2,208,NA,La Salle Dumpling Room
2,209,NA,Dun Huang Upper West
2,210,NA,Oasis Jimma Juice Bar
2,211,NA,Jin Ramen / Kissaten
2,213,NA,Nikko
2,214,NA,Famous Famiglia
2,216,NA,Five Guys
2,217,NA,Cap't Loui
2,218,NA,Sliced by Harlem Pizza Co
